OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
4101,2,2,5,2,2,2,4,1,2,4,40702,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
4102,3,4,7,4,4,4,6,2,2,4,40703,1,1,2023,1,2,4,3,1,1,2,2,1,1,1
4103,4,5,10,6,7,7,9,5,2,4,40703,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4104,3,5,8,5,5,5,7,4,2,4,40704,1,1,2023,1,2,4,5,0,0,0,1,6,1,5
4105,3,5,9,6,6,6,8,4,2,4,40704,2,1,2023,1,2,4,1,1,1,2,1,1,1,1
4106,5,6,13,8,10,10,12,7,3,4,40705,1,1,2023,1,3,4,5,0,0,0,3,6,1,5
4107,3,5,8,5,5,5,7,3,2,4,40705,1,2,2023,2,2,4,1,2,1,1,2,1,1,1
4108,3,5,8,5,5,5,7,3,2,4,40705,1,3,2023,2,2,4,1,2,1,1,2,1,1,1
4109,4,5,11,7,8,8,10,6,2,4,40706,1,1,2023,1,1,4,5,0,0,0,1,6,1,5
4110,2,2,5,2,2,2,4,1,2,4,40706,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
4111,4,5,12,7,9,9,11,6,2,4,40706,2,1,2023,1,1,4,5,1,1,2,1,1,1,3
4112,4,5,10,6,7,7,9,5,2,4,40707,1,1,2023,1,4,2,3,1,1,2,1,1,1,3
4113,3,5,8,5,5,5,7,4,2,4,40707,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4114,3,5,8,5,5,5,7,3,2,4,40708,0,1,2023,3,4,4,3,0,0,0,1,6,3,5
4115,3,4,7,4,4,4,6,3,2,4,40708,0,2,2023,3,4,4,1,1,1,2,1,1,3,3
4116,2,2,5,2,2,2,4,2,2,4,40708,1,1,2023,1,3,4,2,0,0,0,1,6,1,5
4117,3,4,7,4,4,4,6,2,2,4,40708,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4118,3,5,9,6,6,6,8,4,2,4,40708,4,1,2023,1,1,4,3,0,0,0,1,6,1,5
4119,4,5,10,6,7,7,9,5,2,4,40709,1,1,2023,1,4,2,5,1,1,2,1,1,1,3
4120,1,1,3,1,1,1,3,1,1,4,40709,1,2,2023,2,4,2,3,0,0,0,1,6,1,5
4121,2,3,6,3,3,3,5,2,2,4,40710,1,1,2023,1,3,4,5,0,0,0,1,6,1,5
4122,2,2,5,2,2,2,4,1,2,4,40710,1,2,2023,2,3,4,5,1,3,4,1,1,1,1
4123,2,2,5,2,2,2,4,1,2,4,40710,2,1,2023,1,1,4,5,0,0,0,1,6,1,5
4124,2,2,5,2,2,2,4,1,2,4,40711,1,1,2023,1,1,4,5,0,0,0,1,6,1,5
4125,3,5,9,6,6,6,8,5,2,4,40711,2,1,2023,1,4,2,5,1,1,2,1,1,1,3
4126,3,5,9,6,6,6,8,4,2,4,40711,2,2,2023,2,4,2,3,0,0,0,1,6,1,5
4127,2,2,5,2,2,2,4,2,2,4,40711,3,1,2023,1,1,4,5,0,0,0,1,6,1,5
4128,3,5,9,6,6,6,8,5,2,4,40712,0,1,2023,3,4,4,1,1,1,2,1,1,3,3
4129,3,4,7,4,4,4,6,3,2,4,40712,1,1,2023,1,3,4,1,0,0,0,3,6,1,5
4130,3,4,7,4,4,4,6,2,2,4,40712,1,2,2023,2,3,4,3,0,0,0,1,6,1,5
4131,3,4,7,4,4,4,6,2,2,4,40713,0,1,2023,3,4,4,3,1,2,3,1,1,4,1
4132,3,5,8,5,5,5,7,3,2,4,40713,0,2,2023,3,4,4,3,1,2,3,1,1,4,3
4133,4,5,10,6,7,7,9,5,2,4,40713,0,3,2023,3,4,4,3,0,0,0,1,6,4,5
4134,3,4,7,4,4,4,6,2,2,4,40713,1,1,2023,1,1,4,5,0,0,0,1,6,1,5
4135,3,5,8,5,5,5,7,4,2,4,40714,0,1,2023,3,4,4,2,2,1,1,1,1,3,1
4136,3,4,7,4,4,4,6,3,2,4,40714,1,1,2023,1,1,4,2,0,0,0,1,6,1,5
4137,4,5,12,7,9,9,11,6,2,4,40715,0,1,2023,4,4,4,1,1,7,8,1,1,2,3
4138,4,5,10,6,7,7,9,5,2,4,40715,1,1,2023,1,1,4,5,0,0,0,1,6,1,5
4139,3,5,8,5,5,5,7,3,2,4,40717,1,1,2023,1,2,4,1,0,0,0,2,6,1,5
4140,3,4,7,4,4,4,6,2,2,4,40717,1,2,2023,2,2,4,3,1,1,2,2,1,1,1
4141,3,4,7,4,4,4,6,2,2,4,40718,1,1,2023,1,2,4,2,0,0,0,1,6,1,5
4142,2,3,6,3,3,3,5,2,2,4,40718,1,2,2023,2,2,4,3,2,1,1,1,1,1,3
4143,4,5,10,6,7,7,9,6,2,4,40718,2,1,2023,5,4,4,3,0,0,0,1,6,1,5
4144,2,3,6,3,3,3,5,2,2,4,40718,2,2,2023,5,4,4,3,0,0,0,1,6,1,5
4145,2,3,6,3,3,3,5,2,2,4,40719,1,1,2023,1,4,2,1,1,1,2,1,1,1,3
4146,4,5,11,7,8,8,10,6,2,4,40719,2,1,2023,1,1,4,5,0,0,0,1,6,1,5
4147,3,5,9,6,6,6,8,5,2,4,40719,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
4148,4,5,10,6,7,7,9,5,2,4,40720,1,1,2023,1,2,4,2,1,7,8,1,1,1,3
4149,2,2,5,2,2,2,4,1,2,4,40720,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4150,1,1,4,1,1,2,3,1,1,4,40720,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
4151,1,1,4,1,1,2,3,1,1,4,40720,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
4152,2,2,5,2,2,2,4,1,2,4,40720,2,4,2023,2,1,4,3,0,0,0,1,6,1,5
4153,1,1,4,1,1,2,3,1,1,4,40720,2,5,2023,2,1,4,3,0,0,0,1,6,1,5
4154,4,5,10,6,7,7,9,6,2,4,40722,1,1,2023,1,2,4,2,1,2,3,1,1,1,1
4155,3,5,8,5,5,5,7,4,2,4,40723,1,1,2023,1,2,4,5,1,7,8,2,1,1,1
4156,3,5,9,6,6,6,8,5,2,4,40724,1,1,2023,1,1,4,1,1,7,8,1,1,1,3
4157,3,4,7,4,4,4,6,2,2,4,40724,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4158,4,5,12,7,9,9,11,6,2,4,40725,1,1,2023,1,2,4,3,1,1,2,1,1,1,3
4159,2,3,6,3,3,3,5,2,2,4,40725,2,1,2023,1,1,4,5,0,0,0,1,6,1,5
4160,2,3,6,3,3,3,5,2,2,4,40725,2,2,2023,2,1,4,1,0,0,0,1,6,1,5
4161,2,3,6,3,3,3,5,2,2,4,40726,1,1,2023,1,2,4,3,0,0,0,1,6,1,5
4162,2,3,6,3,3,3,5,2,2,4,40726,1,2,2023,2,2,4,3,2,1,1,2,1,1,3
4163,3,5,9,6,6,6,8,5,2,4,40726,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4164,4,5,10,6,7,7,9,5,2,4,40727,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4165,3,5,9,6,6,6,8,5,2,4,40727,1,2,2023,2,2,4,3,2,1,1,2,1,1,1
4166,1,1,2,1,1,1,1,1,1,4,40727,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
4167,2,2,5,2,2,2,4,2,2,4,40728,1,1,2023,1,1,4,3,2,1,1,3,1,1,3
4168,3,4,7,4,4,4,6,3,2,4,40729,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4169,3,4,7,4,4,4,6,3,2,4,40729,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
4170,1,1,4,1,1,2,3,1,1,4,40729,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
4171,4,5,12,7,9,9,11,6,2,4,40729,2,1,2023,1,1,4,3,1,1,2,1,1,1,3
4172,4,5,10,6,7,7,9,6,2,4,40729,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
4173,3,5,9,6,6,6,8,4,2,4,40731,1,1,2023,1,2,1,2,1,1,2,1,1,1,1
4174,3,5,8,5,5,5,7,3,2,4,40732,0,1,2023,3,4,4,3,2,3,1,1,1,3,1
4175,4,5,10,6,7,7,9,6,2,4,40732,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4176,4,5,10,6,7,7,9,6,2,4,40732,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
4177,3,5,8,5,5,5,7,4,2,4,40733,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4178,3,5,8,5,5,5,7,3,2,4,40733,2,1,2023,1,1,4,3,1,1,2,1,1,1,1
4179,3,5,8,5,5,5,7,4,2,4,40734,1,1,2023,1,3,4,3,0,0,0,1,6,1,5
4180,3,4,7,4,4,4,6,3,2,4,40734,1,2,2023,2,1,4,3,2,1,1,1,1,1,3
4181,3,4,7,4,4,4,6,2,2,4,40734,1,3,2023,2,3,4,3,0,0,0,1,6,1,5
4182,3,4,7,4,4,4,6,3,2,4,40734,1,4,2023,2,3,4,3,0,0,0,1,6,1,5
4183,3,4,7,4,4,4,6,3,2,4,40734,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4184,3,4,7,4,4,4,6,2,2,4,40734,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
4185,2,2,5,2,2,2,4,1,2,4,40735,1,1,2023,1,3,4,2,2,1,1,2,1,1,1
4186,3,5,8,5,5,5,7,4,2,4,40736,1,1,2023,1,4,2,2,1,7,8,1,1,1,3
4187,4,5,10,6,7,7,9,5,2,4,40737,0,1,2023,3,4,4,3,2,1,1,1,1,3,3
4188,2,2,5,2,2,2,4,1,2,4,40737,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4189,4,5,12,7,9,9,11,6,2,4,40738,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4190,3,5,8,5,5,5,7,4,2,4,40738,2,1,2023,1,1,4,2,1,8,8,1,1,1,3
4191,2,2,5,2,2,2,4,1,2,4,40738,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
4192,1,1,3,1,1,1,2,1,1,4,40738,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
4193,4,5,12,7,9,9,11,6,2,4,40738,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
4194,3,4,7,4,4,4,6,2,2,4,40739,1,1,2023,1,1,4,5,1,7,8,1,1,1,3
4195,4,5,11,7,8,8,10,6,2,4,40740,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4196,4,5,12,7,9,9,11,6,2,4,40740,1,2,2023,2,1,4,3,1,1,2,1,1,1,3
4197,2,2,5,2,2,2,4,1,2,4,40740,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4198,3,5,8,5,5,5,7,4,2,4,40741,0,1,2023,3,4,4,1,1,8,8,1,1,3,1
4199,3,5,8,5,5,5,7,4,2,4,40741,1,1,2023,1,3,4,1,0,0,0,1,6,1,5
4200,2,3,6,3,3,3,5,2,2,4,40742,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
4201,2,3,6,3,3,3,5,2,2,4,40742,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
4202,2,3,6,3,3,3,5,2,2,4,40742,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
4203,2,3,6,3,3,3,5,2,2,4,40742,1,4,2023,2,1,4,3,0,0,0,1,6,1,5
4204,2,3,6,3,3,3,5,2,2,4,40742,1,5,2023,2,2,4,3,0,0,0,2,6,1,5
4205,2,3,6,3,3,3,5,2,2,4,40742,1,6,2023,2,2,4,3,2,1,1,2,1,1,1
4206,2,3,6,3,3,3,5,2,2,4,40742,1,7,2023,2,2,4,3,2,1,1,2,1,1,1
4207,3,4,7,4,4,4,6,3,2,4,40743,1,1,2023,1,2,4,1,0,0,0,2,6,1,5
4208,1,1,1,1,1,1,1,1,1,4,40743,1,2,2023,2,2,4,1,2,2,1,2,1,1,1
4209,2,2,5,2,2,2,4,1,2,4,40744,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
4210,1,1,4,1,1,1,3,1,1,4,40744,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
4211,4,5,12,7,9,9,11,6,2,4,40744,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4212,3,5,9,6,6,6,8,5,2,4,40744,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
4213,4,5,12,7,9,9,11,6,2,4,40744,2,3,2023,2,1,4,3,2,1,1,1,1,1,3
4214,3,5,9,6,6,6,8,5,2,4,40744,2,4,2023,2,1,4,3,0,0,0,1,6,1,5
4215,2,3,6,3,3,3,5,2,2,4,40744,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
4216,3,4,7,4,4,4,6,2,2,4,40744,3,2,2023,2,1,4,3,0,0,0,1,6,1,5
4217,3,5,8,5,5,5,7,3,2,4,40744,4,1,2023,1,1,4,3,0,0,0,1,6,1,5
4218,3,5,9,6,6,6,8,4,2,4,40746,1,1,2023,1,4,1,1,2,2,1,1,1,1,3
4219,2,2,5,2,2,2,4,1,2,4,40746,1,2,2023,2,4,2,3,0,0,0,1,6,1,5
4220,2,2,5,2,2,2,4,1,2,4,40746,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4221,3,5,9,6,6,6,8,5,2,4,40747,0,1,2023,3,4,4,5,1,1,2,1,1,3,3
4222,3,4,7,4,4,4,6,2,2,4,40747,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4223,3,4,7,4,4,4,6,2,2,4,40748,1,1,2023,1,3,4,1,0,0,0,1,6,1,5
4224,4,5,10,6,7,7,9,6,2,4,40748,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4225,4,5,11,7,8,8,10,6,2,4,40748,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
4226,4,5,12,7,9,9,11,6,2,4,40748,3,2,2023,2,1,4,3,0,0,0,1,6,1,5
4227,4,5,11,7,8,8,10,6,2,4,40748,3,3,2023,2,1,4,3,1,1,2,1,1,1,1
4228,4,5,12,7,9,9,11,6,2,4,40748,3,4,2023,2,1,4,3,0,0,0,1,6,1,5
4229,3,4,7,4,4,4,6,2,2,4,40748,4,1,2023,1,1,4,3,0,0,0,1,6,1,5
4230,3,4,7,4,4,4,6,3,2,4,40748,5,1,2023,1,1,4,3,0,0,0,1,6,1,5
4231,1,1,2,1,1,1,2,1,1,4,40748,5,2,2023,2,1,4,3,0,0,0,1,6,1,5
4232,2,3,6,3,3,3,5,2,2,4,40749,1,1,2023,1,1,4,2,0,0,0,1,6,1,5
4233,4,5,12,7,9,9,11,6,2,4,40749,2,1,2023,1,1,4,3,1,1,2,1,1,1,2
4234,3,5,8,5,5,5,7,4,2,4,40749,3,1,2023,1,1,4,3,0,0,0,1,6,1,5
4235,2,2,5,2,2,2,4,1,2,4,40750,1,1,2023,1,4,1,1,1,7,8,1,1,1,3
4236,4,5,11,7,8,8,10,6,2,4,40751,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4237,3,4,7,4,4,4,6,3,2,4,40751,1,2,2023,2,1,4,3,1,1,2,3,1,1,3
4238,3,5,9,6,6,6,8,5,2,4,40751,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4239,3,4,7,4,4,4,6,2,2,4,40752,1,1,2023,1,3,4,2,0,0,0,1,6,1,5
4240,4,5,10,6,7,7,9,5,2,4,40752,2,1,2023,1,4,2,2,1,1,2,1,1,1,3
4241,3,5,8,5,5,5,7,3,2,4,40753,1,1,2023,1,3,4,3,1,1,2,1,1,1,1
4242,3,5,8,5,5,5,7,4,2,4,40753,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4243,3,4,7,4,4,4,6,2,2,4,40754,1,1,2023,1,2,4,1,0,0,0,1,6,1,5
4244,3,5,9,6,6,6,8,5,2,4,40754,2,1,2023,1,1,4,5,1,1,2,1,1,1,1
4245,2,2,5,2,2,2,4,2,2,4,40755,1,1,2023,1,2,4,2,2,1,1,1,1,1,1
4246,4,5,10,6,7,7,9,6,2,4,40755,2,1,2023,1,1,4,5,0,0,0,1,6,1,5
4247,3,4,7,4,4,4,6,2,2,4,40755,2,2,2023,2,2,4,3,0,0,0,1,6,1,5
4248,3,5,8,5,5,5,7,4,2,4,40756,1,1,2023,1,4,3,3,1,2,3,1,1,1,3
4249,3,5,8,5,5,5,7,4,2,4,40757,1,1,2023,1,1,4,5,0,0,0,1,6,1,5
4250,3,4,7,4,4,4,6,3,2,4,40757,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
4251,1,1,3,1,1,1,3,1,1,4,40757,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
4252,2,2,5,2,2,2,4,1,2,4,40757,2,1,2023,1,4,1,1,1,1,2,1,1,1,3
4253,3,4,7,4,4,4,6,2,2,4,40758,1,1,2023,1,4,1,3,1,1,2,1,1,1,3
4254,3,5,9,6,6,6,8,5,2,4,40758,2,1,2023,1,1,4,1,0,0,0,1,6,1,5
4255,3,5,8,5,5,5,7,3,2,4,40759,1,1,2023,1,2,4,2,2,1,1,1,1,1,3
4256,4,5,12,7,9,9,11,6,2,4,40761,1,1,2023,1,4,1,3,1,1,2,1,1,1,3
4257,3,5,8,5,5,5,7,4,2,4,40761,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4258,3,5,8,5,5,5,7,4,2,4,40761,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
4259,1,1,3,1,1,1,3,1,1,4,40761,2,3,2023,2,1,4,3,0,0,0,1,6,1,5
4260,1,1,2,1,1,1,2,1,1,4,40761,2,4,2023,2,1,4,3,0,0,0,1,6,1,5
4261,2,2,5,2,2,2,4,1,2,4,40762,1,1,2023,1,3,4,1,1,2,3,1,1,1,1
4262,3,5,8,5,5,5,7,4,2,4,40762,2,1,2023,5,4,4,3,0,0,0,1,6,1,5
4263,3,5,8,5,5,5,7,4,2,4,40762,2,2,2023,5,4,4,3,0,0,0,1,6,1,5
4264,1,1,2,1,1,1,2,1,1,4,40762,2,3,2023,5,4,4,3,0,0,0,1,6,1,5
4265,3,5,9,6,6,6,8,5,2,4,40763,1,1,2023,1,2,4,1,2,1,1,1,1,1,1
4266,1,1,1,1,1,1,1,1,1,4,40763,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
4267,3,5,9,6,6,6,8,4,2,4,40764,1,1,2023,1,2,4,4,0,0,0,1,6,1,5
4268,3,5,8,5,5,5,7,3,2,4,40764,1,2,2023,2,1,4,5,2,1,1,1,1,1,3
4269,4,5,10,6,7,7,9,5,2,4,40764,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4270,3,5,9,6,6,6,8,5,2,4,40765,1,1,2023,1,4,1,3,1,1,2,1,1,1,1
4271,3,5,9,6,6,6,8,5,2,4,40765,2,1,2023,1,4,1,3,0,0,0,1,6,1,5
4272,3,5,8,5,5,5,7,3,2,4,40766,1,1,2023,1,2,4,1,1,1,2,1,1,1,1
4273,3,5,8,5,5,5,7,4,2,4,40767,0,1,2023,3,4,4,2,1,1,2,1,1,2,3
4274,3,4,7,4,4,4,6,2,2,4,40767,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4275,3,5,9,6,6,6,8,4,2,4,40768,0,1,2023,3,4,4,1,1,3,4,1,1,2,3
4276,2,3,6,3,3,3,5,2,2,4,40768,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
4277,4,5,11,7,8,8,10,6,2,4,40769,1,1,2023,1,1,4,5,0,0,0,1,6,1,5
4278,4,5,11,7,8,8,10,6,2,4,40769,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
4279,3,4,7,4,4,4,6,3,2,4,40769,2,1,2023,1,4,2,1,1,1,2,1,1,1,3
4280,4,5,10,6,7,7,9,6,2,4,40770,0,1,2023,3,4,4,4,1,1,2,1,1,3,1
4281,4,5,11,7,8,8,10,6,2,4,40770,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4282,3,5,8,5,5,5,7,3,2,4,40771,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4283,3,5,8,5,5,5,7,3,2,4,40771,1,2,2023,2,1,4,3,1,1,2,1,1,1,3
4284,3,4,7,4,4,4,6,3,2,4,40771,1,3,2023,2,1,4,3,1,1,2,1,1,1,1
4285,3,4,7,4,4,4,6,2,2,4,40771,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4286,3,4,7,4,4,4,6,2,2,4,40771,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
4287,2,2,5,2,2,2,4,1,2,4,40772,1,1,2023,1,2,4,2,1,1,2,2,1,1,1
4288,3,5,9,6,6,6,8,5,2,4,40773,1,1,2023,1,4,1,5,1,1,2,1,1,1,1
4289,3,5,8,5,5,5,7,3,2,4,40774,1,1,2023,1,2,4,3,1,1,2,1,1,1,1
4290,3,4,7,4,4,4,6,3,2,4,40775,1,1,2023,1,4,2,5,2,1,1,1,1,1,1
4291,5,6,13,8,10,10,12,7,3,4,40775,2,1,2023,1,3,4,3,0,0,0,3,6,1,5
4292,3,4,7,4,4,4,6,2,2,4,40776,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
4293,2,2,5,2,2,2,4,1,2,4,40776,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4294,4,5,10,6,7,7,9,6,2,4,40776,3,1,2023,1,1,4,1,1,1,2,1,1,1,1
4295,3,5,9,6,6,6,8,4,2,4,40776,3,2,2023,2,1,4,3,1,2,3,1,1,1,3
4296,4,5,12,7,9,9,11,6,2,4,40777,1,1,2023,1,2,4,3,1,1,2,2,1,1,3
4297,4,5,11,7,8,8,10,6,2,4,40777,1,2,2023,2,2,4,3,1,1,2,2,1,1,3
4298,4,5,12,7,9,9,11,6,2,4,40777,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4299,4,5,10,6,7,7,9,5,2,4,40778,0,1,2023,3,4,4,3,2,1,1,1,1,3,3
4300,4,5,10,6,7,7,9,6,2,4,40778,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4301,4,5,10,6,7,7,9,6,2,4,40779,1,1,2023,1,4,1,1,1,1,2,1,1,1,1
4302,4,5,11,7,8,8,10,6,2,4,40779,2,1,2023,1,4,1,3,0,0,0,1,6,1,5
4303,3,4,7,4,4,4,6,2,2,4,40780,1,1,2023,1,2,4,2,3,1,8,1,1,1,3
4304,3,5,9,6,6,6,8,4,2,4,40781,1,1,2023,1,2,4,5,2,1,1,2,1,1,1
4305,3,5,8,5,5,5,7,3,2,4,40782,0,1,2023,3,4,4,3,2,8,1,1,1,3,3
4306,3,4,7,4,4,4,6,2,2,4,40782,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
4307,4,5,12,7,9,9,11,6,2,4,40783,1,1,2023,1,2,4,5,1,1,2,1,1,1,3
4308,3,5,8,5,5,5,7,4,2,4,40783,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4309,4,5,10,6,7,7,9,5,2,4,40784,1,1,2023,1,2,4,2,1,1,2,2,1,1,1
4310,4,5,11,7,8,8,10,6,2,4,40785,1,1,2023,1,2,4,1,1,1,2,1,1,1,3
4311,4,5,10,6,7,7,9,5,2,4,40785,2,1,2023,1,2,4,3,0,0,0,1,6,1,5
4312,3,5,8,5,5,5,7,3,2,4,40785,2,2,2023,2,2,4,3,0,0,0,1,6,1,5
4313,3,5,9,6,6,6,8,5,2,4,40786,0,1,2023,3,4,4,2,2,1,1,1,1,2,3
4314,3,5,9,6,6,6,8,4,2,4,40786,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4315,3,4,7,4,4,4,6,3,2,4,40788,1,1,2023,1,4,1,2,1,1,2,1,1,1,1
4316,4,5,10,6,7,7,9,5,2,4,40788,2,1,2023,1,1,4,5,0,0,0,1,6,1,5
4317,3,4,7,4,4,4,6,2,2,4,40789,1,1,2023,1,2,4,3,1,1,2,2,1,1,1
4318,3,5,8,5,5,5,7,3,2,4,40790,1,1,2023,1,2,4,3,0,0,0,1,6,1,5
4319,4,5,10,6,7,7,9,5,2,4,40790,2,1,2023,1,2,4,3,1,1,2,1,1,1,3
4320,2,3,6,3,3,3,5,2,2,4,40791,1,1,2023,1,1,4,5,0,0,0,3,6,1,5
4321,4,5,12,7,9,9,11,6,2,4,40791,2,1,2023,1,1,4,5,1,1,2,3,1,1,3
4322,4,5,12,7,9,9,11,6,2,4,40791,2,2,2023,2,1,4,5,1,1,2,1,1,1,1
4323,4,5,12,7,9,9,11,6,2,4,40792,1,1,2023,1,2,4,3,1,1,2,2,1,1,1
4324,4,5,10,6,7,7,9,5,2,4,40793,1,1,2023,1,2,4,2,0,0,0,1,6,1,5
4325,3,5,9,6,6,6,8,5,2,4,40793,1,2,2023,2,2,4,5,1,1,2,1,1,1,1
4326,3,4,7,4,4,4,6,3,2,4,40794,1,1,2023,1,3,4,5,0,0,0,1,6,1,5
4327,3,4,7,4,4,4,6,2,2,4,40794,1,2,2023,2,3,4,3,0,0,0,1,6,1,5
4328,1,1,1,1,1,1,1,1,1,4,40794,1,3,2023,2,3,4,3,0,0,0,1,6,1,5
4329,1,1,3,1,1,1,2,1,1,4,40794,1,4,2023,2,3,4,3,0,0,0,1,6,1,5
4330,3,4,7,4,4,4,6,2,2,4,40794,2,1,2023,1,4,1,3,2,1,1,1,1,1,1
4331,2,3,6,3,3,3,5,2,2,4,40794,3,1,2023,1,3,4,3,0,0,0,1,6,1,5
4332,3,5,8,5,5,5,7,4,2,4,40794,4,1,2023,1,3,4,3,0,0,0,1,6,1,5
4333,4,5,10,6,7,7,9,5,2,4,40795,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
4334,4,5,10,6,7,7,9,6,2,4,40795,1,2,2023,2,2,4,3,1,1,2,2,1,1,3
4335,4,5,11,7,8,8,10,6,2,4,40796,0,1,2023,3,4,4,3,1,1,2,1,1,2,1
4336,3,4,7,4,4,4,6,2,2,4,40796,1,1,2023,1,3,4,2,0,0,0,1,6,1,5
4337,2,2,5,2,2,2,4,2,2,4,40796,1,2,2023,2,3,4,3,0,0,0,1,6,1,5
4338,3,5,9,6,6,6,8,5,2,4,40796,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4339,1,1,4,1,1,2,3,1,1,4,40796,2,2,2023,2,1,4,3,0,0,0,1,6,1,5
4340,2,2,5,2,2,2,4,2,2,4,40797,0,1,2023,3,4,4,3,1,1,2,1,1,4,3
4341,2,2,5,2,2,2,4,1,2,4,40797,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
4342,3,5,9,6,6,6,8,4,2,4,40797,2,1,2023,1,1,4,3,0,0,0,1,6,1,5
4343,4,5,11,7,8,8,10,6,2,4,40798,1,1,2023,1,4,2,3,1,1,2,1,1,1,3
4344,2,2,5,2,2,2,4,1,2,4,40799,1,1,2023,1,2,4,1,2,1,1,2,1,1,3
4345,1,1,4,1,1,2,3,1,1,4,40799,1,2,2023,2,2,4,3,2,1,1,2,1,1,1
4346,3,4,7,4,4,4,6,3,2,4,40799,1,3,2023,2,2,4,3,0,0,0,2,6,1,5
4347,3,4,7,4,4,4,6,2,2,4,40799,1,4,2023,2,2,4,3,0,0,0,1,6,1,5
4348,2,3,6,3,3,3,5,2,2,4,40799,1,5,2023,2,2,4,3,0,0,0,1,6,1,5
4349,3,4,7,4,4,4,6,3,2,4,40799,2,1,2023,1,2,4,3,0,0,0,1,6,1,5
4350,1,1,4,1,1,1,3,1,1,4,40800,0,1,2023,3,4,4,2,2,1,1,1,1,3,1
4351,2,3,6,3,3,3,5,2,2,4,40800,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
