OBJECTID,A_AGE1,A_AGE2,A_AGE3,A_AGE4,A_AGE5,A_AGE6,A_AGE7,A_AGE8,A_AGE9,STATE,ST_CASE,VEH_NO,PER_NO,YEAR,A_PTYPE,A_RESTUSE,A_HELMUSE,A_ALCTES,A_HISP,A_RCAT,A_HRACE,A_EJECT,A_PERINJ,A_LOC,A_DOA
106,3,5,9,6,6,6,8,5,2,1,10047,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
107,2,3,6,3,3,3,5,2,2,1,10047,2,1,2023,1,1,4,1,1,1,2,1,1,1,1
108,3,5,8,5,5,5,7,4,2,1,10048,0,1,2023,3,4,4,2,1,1,2,1,1,3,1
109,3,5,9,6,6,6,8,4,2,1,10048,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
110,3,5,9,6,6,6,8,4,2,1,10049,1,1,2023,1,1,4,1,1,2,3,1,1,1,1
111,2,2,5,2,2,2,4,1,2,1,10050,1,1,2023,1,1,4,1,0,0,0,1,6,1,5
112,2,3,6,3,3,3,5,2,2,1,10050,1,2,2023,2,2,4,1,1,1,2,2,1,1,1
113,2,3,6,3,3,3,5,2,2,1,10050,1,3,2023,2,1,4,3,0,0,0,1,6,1,5
114,2,2,5,2,2,2,4,1,2,1,10050,1,4,2023,2,2,4,1,1,1,2,2,1,1,1
115,3,4,7,4,4,4,6,2,2,1,10051,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
116,3,5,9,6,6,6,8,5,2,1,10051,2,1,2023,1,4,1,3,1,1,2,1,1,1,1
117,3,5,8,5,5,5,7,3,2,1,10052,0,1,2023,3,4,4,3,1,1,2,1,1,3,1
118,3,5,8,5,5,5,7,4,2,1,10052,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
119,3,5,8,5,5,5,7,4,2,1,10052,1,2,2023,2,1,4,3,0,0,0,1,6,1,5
120,3,4,7,4,4,4,6,2,2,1,10053,1,1,2023,1,2,4,2,1,1,2,1,1,1,1
121,3,4,7,4,4,4,6,3,2,1,10054,0,1,2023,3,4,4,3,1,2,3,1,1,3,1
122,3,5,9,6,6,6,8,5,2,1,10054,1,1,2023,1,1,4,3,0,0,0,1,6,1,5
123,3,4,7,4,4,4,6,3,2,1,10055,1,1,2023,1,2,4,3,0,0,0,1,6,1,5
124,3,4,7,4,4,4,6,2,2,1,10055,1,2,2023,2,2,4,3,1,2,3,2,1,1,1
